total_value,asset_value,funds,risk,return,win_rate,trades,positions,date
10701,6083,4618,0.5335,1.0206,0.5678,658,12,2001-12-31
10652,7050,3601,0.535,1.006,0.6155,659,14,2002-01-02
10740,7936,2804,0.5377,1.0535,0.669,660,16,2002-01-03
10904,8404,2501,0.5403,1.0207,0.7405,662,17,2002-01-04
10835,7545,3290,0.5435,1.0248,0.7371,668,14,2002-01-07
10776,6706,4070,0.5451,1.0015,0.743,674,11,2002-01-08
10840,8366,2473,0.546,1,0.7247,674,14,2002-01-09
10848,8756,2092,0.5502,1.1292,0.7247,676,15,2002-01-10
10821,8684,2137,0.5543,0.9946,0.677,679,15,2002-01-11
10683,8447,2236,0.5583,1.001,0.6949,681,16,2002-01-14
10625,8258,2367,0.557,0.9641,0.6592,684,16,2002-01-15
10545,7020,3525,0.555,0.9761,0.6185,689,14,2002-01-16
10508,7168,3340,0.5525,0.9855,0.5888,692,14,2002-01-17
10449,7194,3255,0.549,0.9357,0.5174,695,14,2002-01-18
10504,6117,4388,0.5459,0.9862,0.4602,700,12,2002-01-22
10577,6222,4355,0.5424,0.9764,0.4364,703,12,2002-01-23
10582,6389,4193,0.5412,1.0002,0.4007,705,13,2002-01-24
10572,5536,5036,0.5413,1.0281,0.4007,709,12,2002-01-25
10627,6277,4350,0.5444,1.0659,0.4364,710,14,2002-01-28
10599,6485,4113,0.5469,0.9805,0.4126,712,15,2002-01-29
10479,5248,5231,0.5475,0.9725,0.3595,718,12,2002-01-30
10559,6322,4238,0.5459,1,0.3495,718,15,2002-01-31
10774,5818,4956,0.5461,1.0337,0.3793,722,14,2002-02-01
10631,6379,4253,0.5472,0.9992,0.3435,723,16,2002-02-04
10504,6727,3777,0.5462,0.9361,0.3435,724,18,2002-02-05
10484,6998,3486,0.543,0.9697,0.3435,725,20,2002-02-06
10434,6767,3667,0.5389,0.9743,0.3435,728,20,2002-02-07
10447,6187,4260,0.5361,0.9738,0.3614,732,19,2002-02-08
10520,5734,4787,0.5347,1.0088,0.39,737,17,2002-02-11
10615,6122,4493,0.5337,0.9885,0.3423,739,18,2002-02-12
10631,5586,5045,0.5335,0.9963,0.3209,744,16,2002-02-13
10667,6189,4478,0.533,1.0011,0.3209,745,18,2002-02-14
10756,6704,4053,0.5345,1.0478,0.3209,746,20,2002-02-15
10644,6451,4193,0.5361,0.9988,0.3447,749,20,2002-02-19
10685,6617,4069,0.537,0.98,0.3447,751,21,2002-02-20
10618,6634,3984,0.5377,1.043,0.3667,754,21,2002-02-21
10568,6829,3738,0.5388,1.0102,0.3488,756,22,2002-02-22
10596,6884,3712,0.5405,0.9991,0.3964,759,22,2002-02-25
10597,6910,3686,0.5411,1.0087,0.444,762,22,2002-02-26
10697,6229,4468,0.543,1.0505,0.5036,768,19,2002-02-27
10769,5964,4804,0.5457,1.0212,0.5512,773,17,2002-02-28
10693,7108,3585,0.546,0.9379,0.5333,774,19,2002-03-01
10769,8211,2558,0.5446,1,0.5286,774,22,2002-03-04
10846,8344,2502,0.5437,1.0354,0.5643,776,23,2002-03-05
10863,8441,2421,0.5455,1.0174,0.5857,778,24,2002-03-06
11022,8891,2131,0.5488,1.0481,0.5857,780,25,2002-03-07
10961,8956,2005,0.5505,0.9868,0.5143,782,26,2002-03-08
10883,8830,2054,0.5507,0.9711,0.4905,784,27,2002-03-11
10905,8385,2520,0.5492,0.9971,0.5262,788,26,2002-03-12
10854,8967,1887,0.5481,1,0.5162,788,29,2002-03-13
10919,8632,2287,0.5485,1.013,0.4983,792,28,2002-03-14
10801,7871,2930,0.5474,0.9546,0.4745,798,25,2002-03-15
10817,7245,3572,0.5466,1.0092,0.4745,804,22,2002-03-18
10825,7381,3444,0.545,0.9895,0.4626,807,22,2002-03-19
10801,6705,4096,0.5459,1.0261,0.434,812,20,2002-03-20
10768,5844,4924,0.546,0.9873,0.4646,819,16,2002-03-21
10739,6177,4563,0.5472,1.0248,0.4801,823,15,2002-03-22
10718,6941,3777,0.5481,1.0145,0.5158,824,17,2002-03-25
10600,6173,4427,0.5485,0.9723,0.498,828,15,2002-03-26
10715,6402,4313,0.5487,1.0199,0.498,830,15,2002-03-27
10723,5011,5712,0.5478,0.9808,0.5337,836,11,2002-03-28
10763,4991,5773,0.5492,1.0416,0.6051,839,10,2002-04-01
10710,6848,3861,0.5499,1,0.6126,839,13,2002-04-02
10739,7025,3714,0.5527,1.0424,0.6465,841,13,2002-04-03
10677,5905,4772,0.5539,0.9936,0.6715,846,10,2002-04-04
10660,5735,4924,0.5558,1.022,0.6953,849,9,2002-04-05
10657,6120,4538,0.5566,1.0082,0.6834,851,9,2002-04-08
10680,6315,4365,0.5572,0.9866,0.6715,853,9,2002-04-09
10697,7404,3292,0.557,1,0.6766,853,11,2002-04-10
10813,6464,4350,0.5572,1.0197,0.6995,857,9,2002-04-11
10779,7278,3500,0.5587,1.025,0.7174,859,10,2002-04-12
10793,7726,3067,0.5597,0.9867,0.6459,861,11,2002-04-15
10740,8215,2525,0.5599,0.9936,0.6281,862,13,2002-04-16
10830,8309,2520,0.559,0.9922,0.5924,864,14,2002-04-17
10754,8435,2320,0.559,1.0137,0.6281,866,15,2002-04-18
10787,8762,2025,0.559,0.9956,0.5567,867,17,2002-04-19
10713,7880,2834,0.5594,1.0034,0.5492,871,16,2002-04-22
10614,7897,2717,0.5567,0.9204,0.4777,873,17,2002-04-23
10645,6792,3853,0.5533,0.9741,0.4349,879,14,2002-04-24
10517,7041,3477,0.5465,0.9093,0.3872,880,16,2002-04-25
10580,6636,3944,0.5421,0.9877,0.3694,884,15,2002-04-26
10518,6534,3984,0.538,0.9821,0.3337,887,15,2002-04-29
10495,6848,3647,0.5371,1.0029,0.3571,888,17,2002-04-30
10573,5983,4591,0.5363,0.9932,0.3393,892,15,2002-05-01
10611,5969,4642,0.5371,1.0258,0.3393,894,15,2002-05-02
10689,4261,6429,0.5384,1.0226,0.3903,901,11,2002-05-03
10698,5580,5118,0.54,1,0.4182,901,14,2002-05-06
10680,6320,4360,0.5408,1,0.4123,901,16,2002-05-07
10667,6290,4376,0.5413,1.0151,0.4123,903,16,2002-05-08
10682,6975,3707,0.5423,1.0155,0.4838,904,18,2002-05-09
10671,7919,2752,0.5433,1,0.4826,904,21,2002-05-10
10588,7165,3423,0.5435,0.989,0.4969,909,19,2002-05-13
10626,5941,4685,0.5427,0.9896,0.5207,915,15,2002-05-14
10660,5481,5178,0.5419,0.9966,0.5683,921,12,2002-05-15
10686,6542,4144,0.5407,0.9788,0.5505,923,13,2002-05-16
10718,7439,3279,0.5399,0.9994,0.5505,924,15,2002-05-17
10742,7282,3460,0.5399,1.0206,0.5326,928,14,2002-05-20
10484,7507,2976,0.5318,0.7488,0.5326,930,15,2002-05-21
10165,7656,2509,0.524,1.0048,0.5326,931,17,2002-05-22
10284,8467,1817,0.5154,1,0.5196,931,20,2002-05-23
10311,8934,1377,0.5156,1,0.5289,931,23,2002-05-24
10244,8901,1343,0.5153,0.992,0.5347,933,24,2002-05-28
10086,7414,2672,0.5139,0.9667,0.4633,940,20,2002-05-29
10002,6219,3782,0.5108,0.9477,0.4061,945,18,2002-05-30
10077,5583,4494,0.5072,0.9799,0.3859,950,16,2002-05-31
9985,5578,4407,0.502,0.9198,0.3716,954,15,2002-06-03
9828,5901,3928,0.4949,0.8948,0.3478,955,17,2002-06-04
9842,5454,4388,0.4856,0.9202,0.318,959,16,2002-06-05
9906,5096,4810,0.4802,1.027,0.3656,962,16,2002-06-06
9822,4563,5259,0.4771,0.9609,0.3656,967,14,2002-06-07
9889,4901,4988,0.4767,0.9996,0.3478,969,15,2002-06-10
9933,5294,4638,0.4749,0.9858,0.3478,971,16,2002-06-11
9824,5119,4705,0.4751,1.0205,0.3478,974,16,2002-06-12
9849,5703,4146,0.475,0.9901,0.3097,975,18,2002-06-13
9755,5969,3786,0.4749,0.9864,0.2726,976,20,2002-06-14
9743,4966,4777,0.4731,0.9701,0.2488,982,17,2002-06-17
9813,4992,4821,0.4699,0.9501,0.2488,984,18,2002-06-18
9815,4695,5120,0.4673,1.0031,0.2583,987,18,2002-06-19
9831,4572,5259,0.4652,0.9843,0.244,990,18,2002-06-20
9756,4270,5486,0.4645,0.9914,0.2679,993,18,2002-06-21
9719,4904,4815,0.4637,1,0.287,993,21,2002-06-24
9721,4966,4755,0.4611,0.932,0.2691,996,21,2002-06-25
9559,4594,4964,0.4566,0.9363,0.2215,1000,20,2002-06-26
9647,4502,5145,0.4522,1.0021,0.2453,1003,20,2002-06-27
9636,4196,5440,0.4484,0.9492,0.2382,1008,18,2002-06-28
9731,4334,5396,0.4462,0.9832,0.2382,1010,19,2002-07-01
9633,3659,5974,0.4429,0.9725,0.1787,1016,16,2002-07-02
9530,3600,5930,0.4402,0.9642,0.2144,1018,17,2002-07-03
9535,3781,5754,0.4369,0.9646,0.2144,1020,18,2002-07-05
9623,4004,5618,0.4355,1.0311,0.2382,1022,19,2002-07-08
9490,4038,5452,0.4345,0.9724,0.2382,1024,20,2002-07-09
9460,3876,5584,0.434,0.9825,0.2322,1028,19,2002-07-10
9306,2622,6684,0.4295,0.9122,0.2322,1038,12,2002-07-11
9412,2860,6552,0.4257,0.995,0.256,1041,12,2002-07-12
9333,2997,6336,0.4209,0.9521,0.2369,1043,13,2002-07-15
9346,3182,6164,0.418,0.9678,0.2369,1045,14,2002-07-16
9446,3020,6426,0.4164,1.0301,0.2905,1049,13,2002-07-17
9405,3380,6025,0.414,0.9333,0.3024,1051,14,2002-07-18
9294,3833,5462,0.4116,0.9644,0.2738,1052,16,2002-07-19
9077,3857,5220,0.3995,0.7611,0.2381,1054,17,2002-07-22
8973,4193,4780,0.3899,1,0.2432,1054,20,2002-07-23
8682,3886,4796,0.378,0.9024,0.2075,1057,20,2002-07-24
8853,3346,5507,0.3724,0.9339,0.2313,1063,17,2002-07-25
8808,3465,5342,0.3601,0.8144,0.1956,1065,18,2002-07-26
8902,3013,5889,0.3496,0.9538,0.2099,1070,16,2002-07-29
8951,2857,6094,0.3388,0.9254,0.2158,1073,16,2002-07-30
9002,3303,5699,0.3347,1,0.2312,1073,19,2002-07-31
9003,3715,5288,0.3322,1,0.2001,1073,22,2002-08-01
8939,3966,4974,0.3322,1,0.2144,1073,25,2002-08-02
8821,3931,4890,0.3295,0.9186,0.2144,1074,27,2002-08-05
8711,4013,4699,0.3213,0.8458,0.1609,1075,29,2002-08-06
8864,4261,4603,0.312,0.9696,0.1251,1076,31,2002-08-07
8879,4088,4791,0.3038,0.9476,0.1489,1079,31,2002-08-08
8978,4359,4620,0.301,1,0.1596,1079,34,2002-08-09
8998,4230,4768,0.2978,0.9586,0.1426,1082,34,2002-08-12
9038,3589,5449,0.2988,1.0735,0.2021,1088,31,2002-08-13
8975,3454,5520,0.2995,0.9887,0.1962,1092,30,2002-08-14
9082,3536,5546,0.3027,1.0345,0.2676,1095,30,2002-08-15
9096,3927,5169,0.3035,1,0.2724,1095,33,2002-08-16
9107,4344,4763,0.3046,1,0.2681,1095,36,2002-08-19
9133,4459,4673,0.3069,1.068,0.2884,1097,37,2002-08-20
9121,4725,4396,0.309,0.996,0.2718,1098,39,2002-08-21
9214,4896,4318,0.3144,1.102,0.329,1100,40,2002-08-22
9345,5460,3885,0.3176,1,0.3525,1100,43,2002-08-23
9250,5790,3460,0.3209,1,0.3776,1100,46,2002-08-26
9316,5709,3608,0.322,1.0329,0.3955,1104,45,2002-08-27
9140,5855,3284,0.327,1.1204,0.4431,1105,47,2002-08-28
8988,5538,3450,0.3296,0.9268,0.4444,1111,44,2002-08-29
9032,5331,3701,0.3313,1.0022,0.4682,1117,41,2002-08-30
8989,5479,3510,0.3299,1.031,0.4801,1119,42,2002-09-03
8923,4325,4598,0.3297,0.9597,0.4756,1135,29,2002-09-04
8949,4276,4673,0.3282,0.9656,0.4185,1140,27,2002-09-05
9006,4545,4461,0.3286,1.0849,0.4708,1145,25,2002-09-06
9017,4485,4533,0.3325,1.0702,0.4942,1150,23,2002-09-09
9055,4779,4275,0.3385,1.0302,0.5299,1152,24,2002-09-10
9082,4395,4687,0.3427,1.0286,0.5707,1159,20,2002-09-11
